username,user_rating,first_line_percentage,second_line_percentage,third_line_percentage,bad_moves_percentage
Ucitel,2599,94.59,2.70,0.00,2.70
Ucitel,2578,96.67,3.33,0.00,0.00
Ucitel,2611,96.00,4.00,0.00,0.00
Ucitel,2608,95.24,0.00,4.76,0.00
Ucitel,2634,95.12,2.44,0.00,2.44
Ucitel,2557,95.00,2.50,0.00,2.50
Ucitel,2637,94.74,5.26,0.00,0.00
Ucitel,2599,94.29,5.71,0.00,0.00
Ucitel,2589,94.29,2.86,0.00,2.86
Ucitel,2597,94.12,5.88,0.00,0.00
Ucitel,2587,93.75,6.25,0.00,0.00
Ucitel,2613,93.75,3.12,3.12,0.00
Ucitel,2589,93.75,6.25,0.00,0.00
Ucitel,2608,93.55,6.45,0.00,0.00
Ucitel,2607,93.33,0.00,0.00,6.67
Ucitel,2576,93.33,3.33,0.00,3.33
Ucitel,2596,92.86,7.14,0.00,0.00
Ucitel,2594,92.59,7.41,0.00,0.00
Ucitel,2629,92.31,7.69,0.00,0.00
Ucitel,2607,92.31,7.69,0.00,0.00
Ucitel,2591,92.00,8.00,0.00,0.00
Ucitel,2601,91.53,05.08,3.39,0.00
Ucitel,2602,90.91,0.00,09.09,0.00
Ucitel,2591,90.91,6.82,0.00,2.27
Ucitel,2590,90.91,06.06,0.00,03.03
Ucitel,2609,90.91,09.09,0.00,0.00
Ucitel,2591,90.91,0.00,0.00,09.09
Ucitel,2606,90.91,0.00,0.00,09.09
Ucitel,2603,90.91,7.58,1.52,0.00
Ucitel,2597,90.70,4.65,2.33,2.33
Ucitel,2596,90.62,1.56,0.00,7.81
Ucitel,2615,90.62,6.25,0.00,3.12
Ucitel,2572,90.62,3.12,3.12,3.12
Ucitel,2615,90.48,4.76,4.76,0.00
Ucitel,2407,90.48,4.76,0.00,4.76
Ucitel,2598,90.32,6.45,3.23,0.00
Ucitel,2601,90.32,3.23,3.23,3.23
Ucitel,2407,90.32,6.45,3.23,0.00
Ucitel,2605,90.00,2.00,4.00,4.00
Ucitel,2615,89.71,5.88,1.47,2.94
Ucitel,2606,89.66,10.34,0.00,0.00
Ucitel,2606,89.58,4.17,0.00,6.25
Ucitel,2614,89.47,0.00,2.63,7.89
Ucitel,2602,89.47,5.26,5.26,0.00
Ucitel,2605,89.23,7.69,1.54,1.54
