username,user_rating,first_line_percentage,second_line_percentage,third_line_percentage,bad_moves_percentage
Ro_ro2,855,64.29,0.00,14.29,21.43
Ro_ro2,849,73.91,17.39,8.70,0.00
Ro_ro2,856,50.00,6.67,33.33,10.00
Ro_ro2,863,23.08,15.38,46.15,15.38
Ro_ro2,856,41.94,6.45,45.16,6.45
Ro_ro2,851,63.16,10.53,26.32,0.00
Ro_ro2,842,33.33,15.15,27.27,24.24
Ro_ro2,833,56.52,4.35,26.09,13.04
Ro_ro2,822,57.14,42.86,0.00,0.00
Ro_ro2,828,61.54,7.69,30.77,0.00
Ali430,817,71.43,21.43,7.14,0.00
Ali430,803,79.31,13.79,6.90,0.00
Ali430,815,85.19,7.41,0.00,7.41
Ali430,825,60.00,15.00,20.00,5.00
Ali430,832,71.43,14.29,0.00,14.29
Ali430,842,60.00,10.00,30.00,0.00
Ali430,998,50.00,15.00,20.00,15.00
Ali430,981,91.67,4.17,0.00,4.17
Ali430,1005,88.89,0.00,0.00,11.11
Ali430,987,47.83,26.09,13.04,13.04
GelioChess,2722,84.51,5.63,5.63,4.23
GelioChess,2726,80.65,3.23,16.13,0.00
GelioChess,2717,91.89,2.70,2.70,2.70
GelioChess,2721,84.62,9.23,6.15,0.00
GelioChess,2724,80.56,13.89,5.56,0.00
GelioChess,2728,82.76,10.34,6.90,0.00
GelioChess,2724,69.35,11.29,16.13,3.23
GelioChess,2730,83.02,13.21,3.77,0.00
GelioChess,2726,81.82,6.06,9.09,3.03
GelioChess,2722,91.30,4.35,0.00,4.35
faceofmarlboro,1737,82.00,12.00,4.00,2.00
faceofmarlboro,1731,81.25,16.67,0.00,2.08
faceofmarlboro,1737,70.37,7.41,18.52,3.70
faceofmarlboro,1743,100.00,0.00,0.00,0.00
faceofmarlboro,1738,95.45,0.00,0.00,4.55
faceofmarlboro,1733,78.79,12.12,0.00,9.09
faceofmarlboro,1673,57.14,7.14,35.71,0.00
faceofmarlboro,1739,84.38,3.12,12.50,0.00
faceofmarlboro,1733,86.11,5.56,0.00,8.33
faceofmarlboro,1738,83.93,8.93,7.14,0.00
kolosok2008,1211,60.71,10.71,25.00,3.57
kolosok2008,1525,76.92,7.69,15.38,0.00
kolosok2008,1211,62.16,10.81,27.03,0.00
kolosok2008,1525,61.11,11.11,22.22,5.56
kolosok2008,1642,63.83,21.28,14.89,0.00
kolosok2008,1777,73.33,13.33,13.33,0.00
kolosok2008,1302,66.67,11.11,22.22,0.00
kolosok2008,1500,62.50,12.50,25.00,0.00
kolosok2008,1500,63.64,0.00,13.64,22.73
kolosok2008,1500,65.00,15.00,15.00,5.00
